x,y
23.0809,41.6371
23.1379,41.7359
23.2447,41.9181
23.3002,42.0119
23.355,42.1035
23.4101,42.1948
23.4644,42.2838
23.5744,42.461
23.6301,42.5493
23.6864,42.6373
23.7424,42.7238
23.8011,42.8134
23.9114,42.9776
23.9695,43.0625
24.0839,43.2259
24.1432,43.3086
24.261,43.4683
24.3804,43.6252
24.5048,43.7829
24.6219,43.9259
24.7456,44.0714
24.8715,44.2137
24.9978,44.3504
25.1238,44.4815
25.2525,44.6095
25.384,44.7342
25.5152,44.8532
25.6483,44.9684
25.7822,45.0779
25.9215,45.1851
26.0553,45.2824
26.1964,45.3789
26.3398,45.4707
26.4853,45.5595
26.6317,45.6454
26.7846,45.7309
26.9279,45.8077
27.0756,45.8834
27.231,45.9601
27.3789,46.0305
27.5357,46.1017
27.6935,46.1708
27.8568,46.2406
28.0202,46.3088
28.1904,46.378
28.3546,46.4439
28.5247,46.5105
28.6971,46.5769
28.87,46.6423
29.0479,46.7089
29.222,46.7735
29.4028,46.8405
29.6589,46.9359
29.834,47.0012
30.0958,47.099
30.2689,47.1635
30.4405,47.2274
30.6121,47.2914
30.7875,47.3567
30.9547,47.4195
31.1218,47.4824
31.2932,47.5468
31.4635,47.6105
31.63,47.6722
31.7986,47.7339
31.9667,47.7945
32.1315,47.8527
32.3003,47.9117
32.4666,47.9681
32.6321,48.0225
32.7966,48.075
32.9612,48.1255
33.1251,48.1733
33.2893,48.2192
33.4531,48.2634
33.6161,48.306
33.7771,48.3475
33.9879,48.402
34.0975,48.4301
34.2587,48.4704
34.4177,48.509
34.5755,48.5458
34.732,48.5807
34.8846,48.6131
35.046,48.6457
35.2022,48.6755
35.3565,48.7033
35.5147,48.7296
35.662,48.7523
35.814,48.7733
35.9652,48.7921
36.1147,48.8086
36.2588,48.8225
36.4099,48.8343
36.5542,48.8432
36.6978,48.8498
36.8411,48.8535
36.9824,48.8545
37.1204,48.8529
37.2582,48.8483
37.3941,48.8408
37.5271,48.8303
37.6606,48.816
37.7917,48.7992
37.9227,48.7798
38.0506,48.7584
38.1792,48.7349
38.3072,48.7098
38.4362,48.682
38.5666,48.6524
38.6982,48.6205
38.8369,48.5853
38.9721,48.5493
39.1107,48.5106
39.2516,48.4698
39.3959,48.4265
39.5458,48.3805
39.6914,48.3344
39.8421,48.2858
39.9947,48.2357
40.1491,48.1843
40.3051,48.1314
40.4669,48.0756
40.6317,48.0182
40.7926,47.9622
40.9572,47.9048
41.1192,47.8487
41.2922,47.7887
41.4608,47.7304
41.7217,47.6398
41.9007,47.5784
42.1715,47.4854
42.3546,47.4226
42.5419,47.3588
42.7322,47.2938
42.9261,47.2278
43.0224,47.1949
43.121,47.1613
43.3188,47.0941
43.4196,47.0597
43.525,47.0236
43.6239,46.9897
43.7254,46.9552
44.0392,46.8485
44.1483,46.8116
44.2538,46.7758
44.3604,46.7396
44.579,46.6655
44.6884,46.6283
44.7982,46.5909
44.9124,46.5522
45.0216,46.5151
45.2477,46.4385
45.3602,46.4003
45.4759,46.3609
45.5907,46.322
45.7073,46.2823
45.8097,46.2475
46.0611,46.1622
46.1847,46.1203
46.3061,46.0791
46.427,46.0381
46.6748,45.954
46.8,45.9117
46.9266,45.8688
47.0644,45.8223
47.1932,45.7787
47.4546,45.6902
47.5888,45.6448
47.7233,45.5994
47.865,45.5514
48.0084,45.5028
48.1257,45.4631
48.4328,45.3593
48.5749,45.3114
48.7179,45.263
48.8687,45.2119
48.9909,45.1706
49.3118,45.0619
49.4643,45.0103
49.6211,44.9573
49.7751,44.9051
49.9032,44.8617
50.2332,44.7501
50.3968,44.6948
50.5562,44.6409
50.7155,44.5872
50.8622,44.5374
51.2027,44.4222
51.371,44.3652
51.5334,44.3102
51.6991,44.2543
51.8401,44.2066
52.1948,44.0865
52.3655,44.0286
52.534,43.9715
52.6998,43.9155
53.0353,43.8018
53.2026,43.745
53.3787,43.6853
53.5479,43.628
53.7214,43.5692
53.8637,43.5209
54.2247,43.3986
54.3988,43.3395
54.5688,43.2815
54.7409,43.2226
54.8852,43.1733
55.2543,43.0475
55.4402,42.9848
55.6076,42.9286
55.7776,42.8723
55.9236,42.8244
56.2932,42.7052
56.4731,42.6484
56.6474,42.5943
56.8214,42.5411
56.9727,42.4957
57.3482,42.3862
57.5286,42.3354
57.7025,42.2876
57.8818,42.2399
58.2346,42.1508
58.4083,42.1094
58.5883,42.0678
58.763,42.0294
58.9413,41.992
59.2901,41.9252
59.4678,41.894
59.6464,41.865
59.8235,41.8383
59.9978,41.8148
60.1488,41.7965
60.525,41.7581
60.7059,41.7434
60.8831,41.7312
61.0607,41.7216
61.2099,41.7152
61.5861,41.7043
61.7641,41.702
61.9417,41.7017
62.1175,41.7024
62.2667,41.7041
62.6385,41.711
62.8171,41.7152
62.9898,41.7195
63.1652,41.7244
63.3164,41.7294
63.6855,41.7444
63.8641,41.7534
64.0391,41.7632
64.2069,41.7735
64.3523,41.7828
64.7171,41.8075
64.8933,41.819
65.077,41.8313
65.2415,41.8418
65.3819,41.851
65.7446,41.8747
65.9182,41.8862
66.0868,41.8977
66.2564,41.9098
66.3985,41.9203
66.7157,41.9454
66.9359,41.9642
67.1395,41.9828
67.2498,41.9934
67.4117,42.0099
67.7525,42.0474
67.9181,42.0676
68.0797,42.0886
68.2424,42.1115
68.3972,42.1342
68.741,42.1869
68.9066,42.2144
69.0606,42.2413
69.2087,42.2689
69.3632,42.2991
69.6894,42.368
69.848,42.4042
70.0051,42.4418
70.1507,42.4785
70.3001,42.5179
70.6117,42.6064
70.7665,42.6534
70.9136,42.7001
71.0552,42.7472
71.1934,42.7953
71.4998,42.9091
71.6475,42.9676
71.7883,43.0255
71.9187,43.0815
72.051,43.141
72.3331,43.2747
72.4695,43.3431
72.603,43.4128
72.7266,43.4798
72.8493,43.5492
73.1143,43.7083
73.2412,43.7892
73.3731,43.8769
73.4862,43.9549
73.592,44.0314
73.8352,44.2166
73.9524,44.3107
74.0635,44.4033
74.1709,44.4954
74.2732,44.5865
74.4944,44.7913
74.6026,44.8957
74.6989,44.9905
74.7989,45.0915
74.8942,45.1901
75.1013,45.4119
75.1962,45.5173
75.2931,45.6277
75.3806,45.7296
75.4657,45.8316
75.6509,46.0627
75.7369,46.1751
75.8214,46.2889
75.8978,46.3953
75.9727,46.5036
76.1345,46.7492
76.2067,46.8645
76.2808,46.9876
76.3442,47.0996
76.4083,47.2139
76.5476,47.4703
76.6106,47.5899
76.6762,47.7179
76.734,47.8329
76.7923,47.9523
76.915,48.212
76.9727,48.3381
77.033,48.4729
77.0872,48.5963
77.1872,48.8296
77.2489,48.9763
77.3034,49.1075
77.3627,49.2515
77.4096,49.3667
77.4917,49.5722
77.56,49.746
77.6196,49.9
77.6699,50.0309
77.7189,50.1589
77.7686,50.2893
77.8784,50.5771
77.9323,50.7183
77.9892,50.8674
78.0389,50.9979
78.1379,51.2606
78.1978,51.4211
78.252,51.5657
78.3035,51.7022
78.3528,51.832
78.4025,51.9628
78.5151,52.2521
78.5701,52.3904
78.6268,52.5313
78.684,52.6711
78.7361,52.7964
78.8551,53.0774
78.9151,53.2158
78.9763,53.3553
79.0329,53.4824
79.0905,53.6093
79.223,53.8935
79.2859,54.0241
79.3494,54.1533
79.4111,54.2755
79.4789,54.4062
79.6167,54.6635
79.6877,54.7925
79.7578,54.9182
79.8229,55.0332
79.8933,55.156
80.0494,55.4241
80.1241,55.5504
80.1956,55.6707
80.2641,55.7853
80.3331,55.8999
80.4922,56.1616
80.5669,56.2845
80.6377,56.4013
80.708,56.5173
80.777,56.6315
80.928,56.8818
81.003,57.0062
81.0766,57.1283
81.1469,57.2448
81.2152,57.3582
81.3639,57.6046
81.4396,57.7302
81.5139,57.8537
81.5807,57.9644
81.6486,58.077
81.7968,58.3227
81.8701,58.4442
81.9419,58.5629
82.0097,58.6745
82.0779,58.7868
82.2269,59.0334
82.2991,59.1528
82.3698,59.27
82.4382,59.3834
82.5037,59.492
82.6486,59.7322
82.7233,59.856
82.797,59.9782
82.8647,60.0905
82.9305,60.1996
83.0818,60.4505
83.1562,60.574
83.2271,60.6917
83.3041,60.8195
83.4462,61.0553
83.5279,61.1909
83.6033,61.3157
83.6791,61.4416
83.7487,61.557
83.8223,61.679
83.9823,61.9442
84.0596,62.0716
84.1358,62.1971
84.213,62.3241
84.2834,62.4401
84.4466,62.7103
