(0.0, 0.0)
(-1.45816, 10.0)
(-2.59404, 10.0)
(0.0, 0.0)
(-2.98148, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-1.45816, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-1.45816, 10.0)
(-2.86934, 6.0)
(-4.0522, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-1.45816, 10.0)
(-1.45816, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(0.0, 0.0)
(-2.98148, 10.0)
(0.0, 0.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-4.0522, 10.0)
(-1.45816, 10.0)
(-3.8744, 11.0)
(-2.98148, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-4.0522, 10.0)
(-4.0522, 10.0)
(-2.59404, 10.0)
(-2.98148, 10.0)
(-2.98148, 10.0)
(-2.98148, 10.0)
(-2.98148, 10.0)
(-2.98148, 10.0)
(-2.98148, 10.0)
(-2.98148, 10.0)
(-2.98148, 10.0)
(-2.98148, 10.0)
(-2.98148, 10.0)
(0.0, 0.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-1.45816, 10.0)
(-1.45816, 10.0)
(-4.0522, 10.0)
(-2.59404, 10.0)
(-2.59404, 10.0)
(-1.45816, 10.0)
(-2.59404, 10.0)
(-1.07072, 10.0)
(-3.01843, 10.0)
(-3.66476, 10.0)
(6.83276, 11.0)
(-1.44944, 10.0)
(4.33093, 11.0)
(-1.5253, 5.0)
(-1.52529, 5.0)
(-1.5253, 5.0)
(-1.52527, 5.0)
(-1.52529, 5.0)
(-1.52526, 5.0)
(-1.52528, 5.0)
(0.000544877, 0.00538499)
(0.00169852, 0.0160344)
(0.00347994, 0.032437)
(0.00625402, 0.0578979)
(0.00928438, 0.0854406)
(0.0126053, 0.115554)
(0.0171628, 0.156685)
(0.0229073, 0.208344)
(0.0275543, 0.25021)
(0.0351698, 0.319006)
(0.041341, 0.374583)
(0.0488393, 0.442521)
(0.0572798, 0.518419)
(0.0667777, 0.603864)
(0.0755126, 0.682821)
(0.0867167, 0.783324)
(0.0971244, 0.87746)
(0.108174, 0.976739)
(0.122112, 1.10246)
(0.133009, 1.20112)
(0.146188, 1.32084)
(0.160908, 1.45549)
(0.17457, 1.58194)
(0.189541, 1.72343)
(0.204699, 1.87189)
(0.219667, 2.02523)
(0.232871, 2.1679)
(0.247697, 2.3415)
(0.260127, 2.50149)
(0.270846, 2.6551)
(0.281361, 2.82969)
(0.290909, 3.01941)
(0.298115, 3.20101)
(0.302817, 3.36449)
(0.306593, 3.55565)
(0.30865, 3.75179)
(0.309127, 3.96449)
(0.308573, 4.13016)
(0.30694, 4.33975)
(0.304461, 4.56264)
(0.301486, 4.79296)
(0.299084, 4.97165)
(0.296022, 5.20698)
(0.293162, 5.44671)
(0.290954, 5.65935)
(0.288564, 5.91996)
(0.286748, 6.13542)
(0.285021, 6.35551)
(0.283231, 6.5971)
(0.281298, 6.85321)
(0.279201, 7.1098)
(0.276422, 7.37981)
(0.273212, 7.61428)
(0.268479, 7.87459)
(0.261747, 8.14915)
(0.252975, 8.4261)
(0.242051, 8.70178)
